Model	brca_brca_50_linear	brca_brca_100_linear	brca_brca_200_linear	brca_brca_300_linear	brca_brca_500_linear	prad_prad_50_linear	prad_prad_100_linear	prad_prad_200_linear	prad_prad_300_linear	prad_prad_500_linear	brca_topmixed_50_linear	brca_topmixed_100_linear	brca_topmixed_200_linear	brca_topmixed_300_linear	brca_topmixed_500_linear	prad_topmixed_50_linear	prad_topmixed_100_linear	prad_topmixed_200_linear	prad_topmixed_300_linear	prad_topmixed_500_linear	brca_mixed_50_linear	brca_mixed_100_linear	brca_mixed_200_linear	brca_mixed_300_linear	brca_mixed_500_linear	prad_mixed_50_linear	prad_mixed_100_linear	prad_mixed_200_linear	prad_mixed_300_linear	prad_mixed_500_linear
Val Acc	0.902543035994	0.941666666667	0.966666666667	0.961111111111	0.972222222222	0.686688311688	0.65461038961	0.672402597403	0.730064935065	0.715649350649	0.860680751174	0.790884194053	0.821713615023	0.860641627543	0.871870109546	0.701168831169	0.647467532468	0.741168831169	0.708571428571	0.733896103896	0.896909233177	0.757668231612	0.810719874804	0.81044600939	0.821557120501	0.668506493506	0.593181818182	0.72974025974	0.73	0.73012987013
Val Prec	0.49039514867	0.75547979798	0.836666666667	0.834646464646	0.806944444444	0.355899100899	0.354324425574	0.295500610501	0.287943445443	0.3136000111	0.244976678251	0.265766721541	0.254996798976	0.247914710485	0.235989827856	0.348897768898	0.350713314463	0.445052863803	0.36030969031	0.374803529804	0.551545383412	0.238472106306	0.296748521432	0.123394508465	0.124505619576	0.251724109224	0.352332287278	0.436550459345	0.457891765098	0.364322344322
Val Rec	0.161111111111	0.662222222222	0.84	0.84	0.8	0.30656010656	0.312837162837	0.224958374958	0.157842157842	0.201565101565	0.194444444444	0.25	0.241666666667	0.198333333333	0.173333333333	0.239893439893	0.317599067599	0.384532134532	0.292957042957	0.269563769564	0.0	0.265	0.306666666667	0.0805555555556	0.0694444444444	0.141808191808	0.368231768232	0.388844488844	0.431468531469	0.287778887779
Val ROC-AUC	0.781779677849	0.111203937025	0.921791044776	0.0668656716418	0.0626865671642	0.522296154567	0.54060132625	0.489111084148	0.555937507407	0.529551038531	0.666323756398	0.622796993867	0.63494725746	0.621969768761	0.35721305689	0.571255157375	0.544263906687	0.655091201039	0.601945140751	0.62627125916	0.453769643844	0.533684320102	0.653209218458	0.624925480821	0.564170884395	0.448199367277	0.516193352994	0.653738100432	0.619841088133	0.622262981336
Test Acc	0.81935483871	0.735483870968	0.716129032258	0.767741935484	0.78064516129	0.72	0.661666666667	0.715	0.758333333333	0.775	0.796129032258	0.748387096774	0.763870967742	0.78064516129	0.801290322581	0.701666666667	0.653333333333	0.673333333333	0.71	0.711666666667	0.858064516129	0.678709677419	0.762580645161	0.776774193548	0.797419354839	0.688333333333	0.586666666667	0.698333333333	0.718333333333	0.76
Test Prec	0.209970674487	0.153448935356	0.148432212948	0.121719208211	0.212805474096	0.303522602398	0.26612457593	0.260168771044	0.183799019608	0.254802631579	0.17330400782	0.245857636987	0.222578692151	0.163570381232	0.179520264682	0.158833333333	0.279767482794	0.238172896399	0.216157420478	0.207628066378	0.570967741935	0.216244617576	0.277656046034	0.263134379852	0.166110063771	0.178031593407	0.262852755411	0.280141862642	0.251564102564	0.259662698413
Test Rec	0.0909090909091	0.0909090909091	0.0909090909091	0.0454545454545	0.136363636364	0.325	0.3	0.2625	0.1375	0.2125	0.0909090909091	0.209090909091	0.163636363636	0.0818181818182	0.0818181818182	0.1125	0.325	0.25	0.2	0.1875	0.0	0.2	0.236363636364	0.2	0.0818181818182	0.15	0.3125	0.3	0.25	0.2375
Test ROC-AUC	0.465823650034	0.525632262474	0.440533151059	0.496924128503	0.474025974026	0.534014423077	0.496754807692	0.541947115385	0.464783653846	0.506129807692	0.45953520164	0.513602187286	0.550786056049	0.533834586466	0.438961038961	0.453966346154	0.5140625	0.509855769231	0.4203125	0.454927884615	0.51968557758	0.45953520164	0.569036226931	0.573000683527	0.517771701982	0.491225961538	0.4375	0.521875	0.494110576923	0.518509615385
